"event","experiment time","system time","system time text"
"START",0.000000000E0,1675274465.089,"2023-02-01 10:01:05.089 UTC-08:00"
"PAUSE",1.344478952E1,1675274478.533,"2023-02-01 10:01:18.533 UTC-08:00"
