"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.215418110E0,-3.718948364E-2,-1.009445906E0,3.300695419E-1,1.062689981E0
1.231852712E0,-5.986475945E-2,-8.777577877E-1,-2.520341873E-1,9.151850932E-1
1.248286020E0,-2.626889944E-2,-5.741600990E-1,-8.832788467E-1,1.053817534E0
1.264720174E0,8.273297548E-2,-2.513172626E-1,-1.354464054E0,1.380064486E0
1.281154521E0,2.320368886E-1,1.623916626E-2,-1.674084187E0,1.690166469E0
1.297588909E0,3.062477708E-1,2.780661583E-1,-1.905348778E0,1.949733944E0
1.314018484E0,2.649578452E-1,4.867687225E-1,-2.020260811E0,2.094898612E0
1.330460909E0,1.260361075E-1,6.408958435E-1,-1.998424530E0,2.102458843E0
1.346890872E0,-9.778237343E-2,7.838211060E-1,-1.925199032E0,2.080944072E0
1.363325076E0,-3.838118911E-1,9.167532921E-1,-1.832362652E0,2.084538571E0
1.379758507E0,-5.934246182E-1,9.766988754E-1,-1.695252419E0,2.044498529E0
1.396182488E0,-6.348562241E-1,8.496680260E-1,-1.225621700E0,1.620841365E0
1.412626977E0,-6.444218159E-1,6.794795990E-1,-7.394752502E-1,1.193229084E0
1.429068252E0,-7.513349056E-1,6.357688904E-1,-3.914089203E-1,1.059201192E0
1.445494766E0,-1.039629459E0,8.851900101E-1,-2.714319229E-1,1.392144409E0
1.461912644E0,-1.392614365E0,1.146534920E0,-1.471424103E-1,1.809853027E0
1.478363266E0,-1.508634925E0,1.159954548E0,4.140625000E-1,1.947542463E0
1.494786708E0,-1.247990012E0,7.462887764E-1,1.433805466E0,2.042112661E0
1.511232174E0,-9.814462066E-1,4.310879707E-1,2.308477402E0,2.545219324E0
1.527655260E0,-7.084829211E-1,3.544740677E-1,3.023814201E0,3.125868238E0
1.544099911E0,-2.953203917E-1,4.714093208E-1,3.333003044E0,3.379104937E0
1.560530718E0,1.152950525E-1,6.815056801E-1,3.359433174E0,3.429800897E0
1.576967913E0,3.665845394E-1,7.832007408E-1,3.139145851E0,3.256074984E0
1.593401081E0,3.253384829E-1,6.838173866E-1,2.832198143E0,2.931688535E0
1.609836669E0,1.021223664E-1,4.075746536E-1,2.607889175E0,2.641520779E0
1.626269561E0,4.980385303E-2,1.213359833E-2,2.309885025E0,2.310453738E0
1.642704834E0,1.901503801E-1,-5.533707142E-1,1.638014793E0,1.739387472E0
1.659135681E0,5.283702612E-1,-1.110430241E0,5.928878784E-1,1.365191008E0
1.675575052E0,1.009481788E0,-1.563373327E0,-4.762477875E-1,1.920937686E0
1.692003378E0,1.338725328E0,-1.722656965E0,-1.199691772E0,2.489777676E0
1.708440553E0,1.406280518E0,-1.560060501E0,-1.401685715E0,2.525101286E0
1.724874625E0,1.357897878E0,-1.245992661E0,-1.208343029E0,2.203741644E0
1.741298138E0,1.114976168E0,-9.538526535E-1,-6.180534363E-1,1.592167324E0
1.757738843E0,8.685981035E-1,-8.177440166E-1,1.728878021E-1,1.205428610E0
1.774182070E0,6.574186087E-1,-1.037001848E0,7.243328094E-1,1.425563074E0
1.790610853E0,4.732335806E-1,-1.478244781E0,6.034746170E-1,1.665334582E0
1.807044783E0,3.592022061E-1,-1.758448839E0,-1.013174057E-1,1.797618914E0
1.823476760E0,3.294205070E-1,-1.606367111E0,-1.240601063E0,2.056215982E0
1.839915562E0,3.115231991E-1,-1.216830492E0,-2.389057159E0,2.699132687E0
